authors	pub_year	title	conference	location	paper_url	accepted	submitted	video_url
Phani Vadrevu, Babak Rahbarinia, Roberto Perdisci, Kang Li, Manos Antonakakis	2013	Measuring and detecting malware downloads in live network traffic	European Symposium on Research in Computer Security (ESORICS)	Egham, U.K.	/files/papers/amico.pdf	43	242	-
Phani Vadrevu, Roberto Perdisci	2016	MAXS: Scaling malware execution with sequential multi-hypothesis testing	11th ACM on Asia Conference on Computer and Communications Security (AsiaCCS)	Xi'an, China	/files/papers/maxs.pdf	73	350	-
Phani Vadrevu, Jienan Liu, Bo Li, Babak Rahbarinia, Kyu Hyung Lee, Roberto Perdisci	2017	Enabling Reconstruction of Attacks on Users via Efficient Browsing Snapshots	24th Annual Network and Distributed System Security Symposium (NDSS)	San Diego, U.S.A.	/files/papers/chromepic.pdf	68	423	https://www.youtube.com/watch?v=iIgTjHr1w0o
Bo Li, Phani Vadrevu, Kyu Hyung Lee, Roberto Perdisci	2018	JSgraph: Enabling Reconstruction of Web Attacks via Efficient Tracking of Live In-Browser JavaScript Executions	25th Annual Network and Distributed System Security Symposium (NDSS)	San Diego, U.S.A.	/files/papers/jsgraph.pdf	71	331	https://www.youtube.com/watch?v=pZU1RIxTMUs
Phani Vadrevu, Roberto Perdisci	2019	What You See is NOT What You Get: Discovering and Tracking Ad-Driven Social Engineering Attack Campaigns	19th ACM Internet Measurement Conference (IMC)	Amsterdam, Netherlands	/files/papers/seacma.pdf	38	197	https://vimeo.com/showcase/6531379/video/369121670#t=3018s
Karthika Subramani, Xingzi Yuan, Omid Setayeshfar, Phani Vadrevu, Kyu Hyung Lee, Roberto Perdisci	2020	When Push Comes to Ads: Measuring the Rise of (Malicious) Push Advertising	20th ACM Internet Measurement Conference (IMC)	Virtual	/files/papers/pushads.pdf	53	216	https://dl.acm.org/action/downloadSupplement?doi=10.1145%2F3419394.3423631&file=imc2020-107-long.mp4
Bhupendra Acharya, Phani Vadrevu	2021	PhishPrint: Evading Phishing Detection Crawlers by Prior Profiling	30th USENIX Security Symposium (USENIX Security)	Virtual	/files/papers/phishprint.pdf	246	1316	https://www.usenix.org/conference/usenixsecurity21/presentation/acharya
Bhupendra Acharya, Phani Vadrevu	2022	A Human in Every APE: Delineating and Evaluating the Human Analysis Systems of Anti-Phishing Entities	The 19th Conference on Detection of Intrusions and Malware & Vulnerability Assessment (DIMVA)	Cagliari, Italy	/files/papers/ape_humans.pdf	11	39	-
Shekhar Chalise, Hoang Dai Nguyen, Phani Vadrevu	2022	Your Speaker or My Snooper? Measuring the Effectiveness of Web Audio Browser Fingerprints	22nd ACM Internet Measurement Conference (IMC)	Nice, France	/files/papers/audio_fp.pdf	56	212	https://dl.acm.org/doi/10.1145/3517745.3561435#
Karthika Subramani, William Melicher, Oleksii Starov, Phani Vadrevu, Roberto Perdisci	2022	PhishInPatterns: Measuring Elicited User Interactions at Scale on Phishing Websites	22nd ACM Internet Measurement Conference (IMC)	Nice, France	/files/papers/phish_in_patterns.pdf	56	212	https://dl.acm.org/doi/10.1145/3517745.3561467
Jienan Liu, Pooja Pun, Phani Vadrevu, Roberto Perdisci	2023	Understanding, Measuring, and Detecting Modern Technical Support Scams	8th IEEE European Symposium on Security and Privacy (Euro S&P)	Delft, Netherlands	/files/papers/tasr.pdf	63	176	https://collegerama.tudelft.nl/Mediasite/Channel/8th-ieee-eurosp/watch/d4bb54cfc3384fbdad84bee47f17d2ca1d
Bhupendra Acharya, Muhammad Saad, Antonio Emanuele Cinà, Lea Schönherr, Hoang Dai Nguyen, Adam Oest, Phani Vadrevu, Thorsten Holz	2024	Conning the Crypto Conman: End-to-End Analysis of Cryptocurrency-based Technical Support Scams	2024 IEEE Symposium on Security and Privacy (SP)	San Francisco, U.S.A.	/files/papers/honeytweets.pdf	258	1449	-
Hoang Dai Nguyen, Karthika Subramani, Bhupendra Acharya,  Roberto Perdisci, Phani Vadrevu	2024	C-Frame: Characterizing and Measuring in-the-wild CAPTCHA Attacks	2024 IEEE Symposium on Security and Privacy (SP)	San Francisco, U.S.A.	/files/papers/cframe.pdf	258	1449	https://www.youtube.com/watch?v=8GfHGAnju3w&list=PL0pRF4xvoD0kKDUYKpKpbOiVipYN2gmS0
Hoang Dai Nguyen, Phani Vadrevu	2025	The ACM Web Conference (formerly, WWW) 2025	Breaking the Shield: Analyzing and Attacking Canvas Fingerprinting Defenses in the in-the-wild	Sydney, Australia	/files/papers/canvas_fp.pdf 	409	2062	-
Hoang Dai Nguyen, Sumit Dhungana, Madhulika Itha, Phani Vadrevu	2025	“Please don’t send that bot anything”: A Mixed-methods Study of Personal Impersonation Attacks Targeting Digital Payments on Social Media 	34th USENIX Security Symposium (USENIX Security) 2025 	Seattle, U.S.A.	/files/papers/prosper.pdf 	442	2400	-
Anish Chand, Nick Nikiforakis, Phani Vadrevu	2025	Doubly Dangerous: Evading Phishing Reporting Systems by Leveraging Email Tracking Techniques 	34th USENIX Security Symposium (USENIX Security) 2025 	Seattle, U.S.A.	/files/papers/doubly_dangerous.pdf 	442	2400	-